codigo_pa;numero_pa;uf;municipio;longitude;latitude;altitude_(m);profundidade_superior;profundidade_inferior;simbolo_horizonte;codigo_horizonte;classe_solos_nivel_1
5259.0;Perfil 1;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;95.0;0.0;6.0;Ap;13459.0;CAMBISSOLO
5259.0;Perfil 1;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;95.0;149.0;160.0;Cr2;13460.0;CAMBISSOLO
5259.0;Perfil 1;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;95.0;105.0;149.0;Cr1;13461.0;CAMBISSOLO
5259.0;Perfil 1;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;95.0;72.0;105.0;BC;13462.0;CAMBISSOLO
5259.0;Perfil 1;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;95.0;46.0;72.0;Bi2;13463.0;CAMBISSOLO
5259.0;Perfil 1;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;95.0;24.0;46.0;Bi1;13464.0;CAMBISSOLO
5259.0;Perfil 1;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;95.0;6.0;24.0;BA;13465.0;CAMBISSOLO
5260.0;Perfil 4;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;145.0;175.0;C;13466.0;CAMBISSOLO
5260.0;Perfil 4;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;94.0;145.0;Bi3;13467.0;CAMBISSOLO
5260.0;Perfil 4;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;62.0;94.0;Bi2;13468.0;CAMBISSOLO
5260.0;Perfil 4;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;24.0;62.0;Bi1;13469.0;CAMBISSOLO
5260.0;Perfil 4;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;10.0;24.0;BA;13470.0;CAMBISSOLO
5260.0;Perfil 4;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;0.0;10.0;Ap;13471.0;CAMBISSOLO
5261.0;Perfil 2;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;85.0;122.0;180.0;Cg;13472.0;CAMBISSOLO
5261.0;Perfil 2;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;85.0;75.0;122.0;BCg;13473.0;CAMBISSOLO
5261.0;Perfil 2;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;85.0;58.0;75.0;Bi2;13474.0;CAMBISSOLO
5261.0;Perfil 2;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;85.0;30.0;58.0;Bi1;13475.0;CAMBISSOLO
5261.0;Perfil 2;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;85.0;14.0;30.0;BA;13476.0;CAMBISSOLO
5261.0;Perfil 2;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;85.0;0.0;14.0;Ap;13477.0;CAMBISSOLO
5262.0;Perfil 5;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;115.0;170.0;C;13478.0;CAMBISSOLO
5262.0;Perfil 5;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;98.0;115.0;BC;13479.0;CAMBISSOLO
5262.0;Perfil 5;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;0.0;8.0;Ap;13480.0;CAMBISSOLO
5262.0;Perfil 5;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;63.0;98.0;Bi2;13481.0;CAMBISSOLO
5262.0;Perfil 5;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;30.0;63.0;Bi1;13482.0;CAMBISSOLO
5262.0;Perfil 5;AM;Benjamin Constant;-70.00027777777778;-4.006388888888889;105.0;8.0;30.0;BA;13483.0;CAMBISSOLO
5263.0;Perfil 3;AM;Benjamin Constant;-70.00027777777778;4.006388888888889;84.0;113.0;170.0;Cg2;13484.0;CAMBISSOLO
5263.0;Perfil 3;AM;Benjamin Constant;-70.00027777777778;4.006388888888889;84.0;88.0;113.0;Cg1;13485.0;CAMBISSOLO
5263.0;Perfil 3;AM;Benjamin Constant;-70.00027777777778;4.006388888888889;84.0;65.0;88.0;BCg;13486.0;CAMBISSOLO
5263.0;Perfil 3;AM;Benjamin Constant;-70.00027777777778;4.006388888888889;84.0;39.0;65.0;BC;13487.0;CAMBISSOLO
5263.0;Perfil 3;AM;Benjamin Constant;-70.00027777777778;4.006388888888889;84.0;21.0;39.0;Bi;13488.0;CAMBISSOLO
5263.0;Perfil 3;AM;Benjamin Constant;-70.00027777777778;4.006388888888889;84.0;8.0;21.0;AB;13489.0;CAMBISSOLO
5263.0;Perfil 3;AM;Benjamin Constant;-70.00027777777778;4.006388888888889;84.0;0.0;8.0;A;13490.0;CAMBISSOLO
5264.0;Perfil 6;AM;Benjamin Constant;;;84.0;140.0;170.0;Cg2;13491.0;CAMBISSOLO
5264.0;Perfil 6;AM;Benjamin Constant;;;84.0;79.0;140.0;Cg1;13492.0;CAMBISSOLO
5264.0;Perfil 6;AM;Benjamin Constant;;;84.0;48.0;79.0;BCg;13493.0;CAMBISSOLO
5264.0;Perfil 6;AM;Benjamin Constant;;;84.0;18.0;48.0;Big;13494.0;CAMBISSOLO
5264.0;Perfil 6;AM;Benjamin Constant;;;84.0;7.0;18.0;AB;13495.0;CAMBISSOLO
5264.0;Perfil 6;AM;Benjamin Constant;;;84.0;0.0;7.0;A;13496.0;CAMBISSOLO
5286.0;Perfil 26;AM;Benjamin Constant;;;;88.0;160.0;Crg;13618.0;CAMBISSOLO
5286.0;Perfil 26;AM;Benjamin Constant;;;;52.0;88.0;CBg;13619.0;CAMBISSOLO
5286.0;Perfil 26;AM;Benjamin Constant;;;;36.0;52.0;Bi2;13620.0;CAMBISSOLO
5286.0;Perfil 26;AM;Benjamin Constant;;;;24.0;36.0;Bi1;13621.0;CAMBISSOLO
5286.0;Perfil 26;AM;Benjamin Constant;;;;10.0;24.0;BA;13622.0;CAMBISSOLO
5286.0;Perfil 26;AM;Benjamin Constant;;;;0.0;10.0;A;13623.0;CAMBISSOLO
5287.0;Perfil 27;AM;Benjamin Constant;;;;0.0;10.0;A;13624.0;CAMBISSOLO
5287.0;Perfil 27;AM;Benjamin Constant;;;;61.0;180.0;Cg;13625.0;CAMBISSOLO
5287.0;Perfil 27;AM;Benjamin Constant;;;;33.0;61.0;CB;13626.0;CAMBISSOLO
5287.0;Perfil 27;AM;Benjamin Constant;;;;24.0;33.0;Bi;13627.0;CAMBISSOLO
5287.0;Perfil 27;AM;Benjamin Constant;;;;10.0;20.0;BA;13628.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;0.0;9.0;A;13629.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;61.0;180.0;Cg;13630.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;41.0;61.0;BC;13631.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;24.0;41.0;Bi;13632.0;CAMBISSOLO
